# Midland, TX (Up to date)
# 1841 data points written for 63 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose Cone Extension", "Body Tube"
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (181 ft/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (98.1 ft/s):  "Main Parachute"
#
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
Time (s),Altitude (ft),Altitude above sea level (ft),Vertical velocity (ft/s),Total velocity (ft/s),Vertical acceleration (ft/s²),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (oz),Motor mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),Gravitational acceleration (ft/s²),CP location (in),CG location (in),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (ft/s),Wind direction (°),Air temperature (°F),Air pressure (mbar),Air density (oz/in³),Speed of sound (ft/s),Mach number (​),Reynolds number (​),Reference length (in),Reference area (in²),Simulation time step (s),Computation time (s),Coriolis acceleration (ft/s²),Damping moment coefficient (​),CMC (),NatFreq (),CNalpha (),Damping Ratio ()
0,0,2917,0,0,0,0,0,0,0,0,0,0,31.04981,-103.54731,84,0,0,0,84,90,1142.698304,594.084068,372.103692,2.403553,32.123836,NaN,68.260944,NaN,0,0,2.667879e-4,0.419446,0.357756,2.266756e-4,0.061464,0.001136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.275961,90,97,925.99925,6.029463e-4,1158.734361,0.014046,7.344099e5,6.008,28.349782,0.01,0.045577,0,NaN,NaN,NaN,NaN,NaN
0.01,5.918234e-4,2917.000592,0.231088,0.236685,67.63403,68.418856,1.697266e-4,0,1.697266e-4,89.999989,0.051168,10.333338,31.04981,-103.54731,83.189692,0,0,0,84,90,1142.324165,593.709929,372.037708,2.403251,32.123836,NaN,68.256231,NaN,989.95275,3.122029,3.894745e-4,0.419157,0.357466,2.270963e-4,0.061464,0.001646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.28767,90,96.999997,925.999232,6.029463e-4,1158.734358,0.014102,7.373207e5,6.008,28.349782,0.01,0.058644,2.982225e-5,NaN,NaN,NaN,NaN,NaN
0.02,0.007948,2917.007948,1.406413,1.421554,167.441841,168.731174,0.001373,0,0.001373,89.999979,0.206928,20.819198,31.04981,-103.54731,79.1299,0,0,0,84,90,1141.950026,593.335789,371.971703,2.402949,32.123836,NaN,68.251515,NaN,1979.9055,6.246104,0.001551,0.418158,0.356465,2.28564e-4,0.061464,0.006377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.299379,90,96.99996,925.999,6.029462e-4,1158.734317,0.014297,7.475022e5,6.008,28.349782,0.01,0.063511,1.782981e-4,2.995976,NaN,NaN,NaN,NaN
0.03,0.032048,2917.032048,3.580144,3.610545,267.315313,269.142153,0.004658,0,0.004658,89.999968,0.467553,31.305304,31.04981,-103.54731,71.955137,0,0,0,84,90,1141.575887,592.96165,371.905675,2.402647,32.123836,NaN,68.246796,NaN,2969.85825,9.372227,0.006936,0.415627,0.353929,2.323755e-4,0.061465,0.026592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.311087,90,96.999839,925.99824,6.029458e-4,1158.734183,0.014806,7.741345e5,6.008,28.349782,0.01,0.080962,4.524917e-4,3.254523,NaN,NaN,NaN,NaN
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.082881,2917.082881,6.752938,6.804122,367.585487,369.610251,0.011073,8.306286e-9,0.011073,89.999957,0.833012,38.634792,31.04981,-103.54731,62.514211,0,0,0,84,90,1141.201748,592.587511,371.839625,2.402345,32.123836,NaN,68.242074,NaN,3959.811,12.5004,0.024631,0.410507,0.348799,2.405214e-4,0.061467,0.081765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.322796,90,96.999584,925.996637,6.02945e-4,1158.733901,0.015911,8.31921e5,6.008,28.349782,0.012,0.098703,8.524533e-4,3.790692,NaN,NaN,NaN,NaN
0.052,0.191535,2917.191535,11.452203,11.52882,415.638237,417.927689,0.023972,1.830087e-8,0.023972,89.999956,1.326925,43.685339,31.04981,-103.54731,51.011208,0,0,0,84,90,1140.250206,591.63597,371.671542,2.401576,32.123836,NaN,68.230051,NaN,4432.624,14.004662,0.07474,0.401422,0.339693,2.566223e-4,0.061473,0.190631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.315477,90,96.999037,925.993212,6.029434e-4,1158.733298,0.018152,9.490772e5,6.008,28.349782,0.01,0.107389,0.001444,5.976402,NaN,NaN,NaN,NaN
0.062,0.326873,2917.326873,15.618739,15.718133,417.669057,419.969695,0.039429,2.662968e-8,0.039429,89.999961,1.764845,43.898787,31.04981,-103.54731,43.028209,0,0,0,84,90,1139.404763,590.790527,371.52208,2.400893,32.123835,NaN,68.219351,NaN,4449.510122,14.068444,0.141709,0.393168,0.331416,2.734762e-4,0.061479,0.281813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.220335,90,96.998357,925.988945,6.029414e-4,1158.732547,0.020557,1.074827e6,6.008,28.349782,0.01,0.111977,0.001968,6.54071,NaN,NaN,NaN,NaN
0.072,0.503977,2917.503977,19.805588,19.927943,419.701042,422.012872,0.059276,3.49585e-8,0.059276,89.999966,2.204901,44.112357,31.04981,-103.54731,36.784294,0,0,0,84,90,1138.559321,589.945084,371.372505,2.400211,32.123835,NaN,68.208635,NaN,4466.396245,14.132321,0.226987,0.385194,0.323415,2.923093e-4,0.061487,0.351709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.125193,90,96.997467,925.983362,6.029387e-4,1158.731564,0.023289,1.217669e6,6.008,28.349782,0.01,0.119733,0.002495,7.179574,NaN,NaN,NaN,NaN
0.082,0.723052,2917.723052,24.012765,24.158228,421.734491,424.057523,0.083535,4.328732e-8,0.083535,89.99997,2.647093,44.326081,31.04981,-103.54731,31.8758,0,0,0,84,90,1137.713878,589.099642,371.222816,2.399528,32.123834,NaN,68.197903,NaN,4483.282367,14.196293,0.327634,0.377809,0.316,3.125852e-4,0.061496,0.399488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.030051,90,96.996366,925.976455,6.029354e-4,1158.730348,0.026254,1.372658e6,6.008,28.349782,0.01,0.126142,0.003025,7.841477,NaN,NaN,NaN,NaN
